,tanggal,pm10,pm25,so2,co,o3,no2,co2
206,2022-05-22,48.245617,81.22814,24.063595,8.82267,31.312284,13.889063,1068.5741
207,2022-05-23,52.53323,88.40686,24.00168,9.088337,29.192656,12.942691,1051.8643
208,2022-05-24,49.9779,89.486206,24.21287,9.632094,28.307182,15.134389,1190.7814
209,2022-05-25,53.383175,92.573456,23.265236,10.544441,28.326324,15.686185,1333.6322
210,2022-05-26,48.109627,79.572845,23.127455,8.610645,29.692968,21.282505,1446.3147
211,2022-05-27,45.792973,77.65082,23.031576,9.26165,27.955578,18.954504,1332.0928
212,2022-05-28,44.798183,69.93257,23.631037,7.466908,27.402042,15.757542,1304.0306
213,2022-05-29,50.500286,76.07222,25.144968,10.858504,25.87503,19.431517,1148.8329
214,2022-05-30,53.45876,87.76388,27.032648,10.327418,24.001415,18.197174,1159.1989
215,2022-05-31,46.469234,80.38592,28.567669,13.177552,21.93076,19.870127,1464.7361
216,2022-06-01,55.195076,80.847916,29.166239,13.167103,22.180414,18.256992,1375.0265
217,2022-06-02,54.632336,89.95671,28.652445,11.63475,22.506176,22.16915,1097.987
218,2022-06-03,53.086567,88.87362,27.501165,9.370863,22.5209,17.872492,1087.6097
219,2022-06-04,51.670685,82.702896,26.455006,8.645595,23.394312,22.294891,1115.7307
220,2022-06-05,47.79155,84.97508,29.069712,8.744113,23.995111,22.338167,1252.4475
221,2022-06-06,51.433216,65.86129,28.03231,8.967808,24.04031,22.264992,1176.5425
222,2022-06-07,54.82398,60.09277,28.853075,10.714304,23.260952,18.075867,1494.0787
223,2022-06-08,53.114994,63.950108,28.009565,11.832087,24.844358,22.656153,1516.9432
224,2022-06-09,53.12205,74.8791,24.29391,11.39206,25.090971,24.805042,1271.1975
225,2022-06-10,54.66634,84.15959,23.719793,10.605198,26.271782,20.309698,1550.0435
226,2022-06-11,57.603268,89.72646,25.12332,13.112601,26.71245,21.754536,1397.9401
227,2022-06-12,55.638027,86.24509,25.584763,11.891068,27.222902,19.90828,1562.0734
228,2022-06-13,53.06274,75.61177,24.672663,11.517636,26.992336,26.055578,1301.9203
229,2022-06-14,54.75233,76.04627,25.391096,10.033332,26.244017,20.130713,1293.6276
230,2022-06-15,54.918335,78.70071,24.676485,10.966064,26.328047,22.830183,1384.5873
231,2022-06-16,56.10864,83.611534,24.095263,11.555626,24.095963,21.139456,1258.7206
232,2022-06-17,53.328384,84.71867,25.52656,10.67675,22.379498,25.368238,1198.9764
233,2022-06-18,54.64049,92.23596,28.367039,12.63665,18.46262,25.23348,1565.7084
234,2022-06-19,56.842735,91.20584,29.174578,12.704914,16.732908,28.525951,1515.9982
235,2022-06-20,58.21879,92.26042,27.640402,12.333369,15.51095,30.433054,1596.819
236,2022-06-21,56.783188,99.271286,27.322088,11.850966,15.499776,32.444508,1691.6475
237,2022-06-22,56.17335,88.47479,28.697206,13.676789,15.273743,34.08668,1856.2977
238,2022-06-23,47.350033,74.00018,32.30914,12.060139,14.159161,40.6616,1841.2952
239,2022-06-24,61.248203,93.03569,31.472681,14.702077,15.392707,32.90405,1919.2982
240,2022-06-25,56.89166,94.5669,32.923645,15.993381,15.369453,32.436344,2079.9697
241,2022-06-26,60.90626,106.241585,28.328684,19.819082,15.153943,40.294537,1949.441
242,2022-06-27,56.848213,92.3437,29.627886,16.57143,16.752094,38.365482,2452.1038
243,2022-06-28,55.213757,95.32919,32.292465,17.564829,16.689625,39.98934,1804.7054
244,2022-06-29,67.53703,98.43553,34.271393,15.692263,16.149834,24.113161,1998.8373
245,2022-06-30,59.99617,109.973206,35.487556,17.038929,17.329235,36.337856,2014.2389
246,2022-07-01,59.351078,104.94404,28.229551,14.928555,17.990479,37.00743,1716.4896
247,2022-07-02,50.29303,90.30631,30.416994,13.554209,17.94926,37.642155,2196.1597
248,2022-07-03,66.21629,96.452835,29.843,17.920918,17.36101,29.128325,1737.5264
249,2022-07-04,64.017914,98.1458,33.045185,15.855987,16.54319,27.983137,2188.226
250,2022-07-05,63.296444,115.294525,30.96884,16.923325,17.630152,39.809975,1528.1759
251,2022-07-06,62.658825,107.05332,31.877342,12.660426,19.998932,24.684376,1878.7972
252,2022-07-07,59.744972,102.34721,29.791359,14.723672,22.562101,23.297115,1949.5281
253,2022-07-08,64.936165,95.12645,29.887665,15.455972,26.456982,22.470373,1573.6022
254,2022-07-09,65.31067,106.30368,32.41623,12.49466,29.622444,27.10087,1369.6132
255,2022-07-10,62.124996,106.50582,31.377832,13.317566,30.448359,22.35264,1446.1427
256,2022-07-11,59.106174,97.96609,33.06848,11.613433,30.446667,17.26231,1467.9415
257,2022-07-12,55.160244,85.40911,33.888245,10.648467,28.62072,21.216476,1093.0643
258,2022-07-13,59.088017,81.09922,35.946762,9.260286,26.372442,17.097157,1030.523
259,2022-07-14,60.942574,94.55854,36.463158,8.741654,22.92389,16.866835,904.06287
260,2022-07-15,57.115253,96.521194,35.57411,8.604943,21.93578,17.243732,973.3752
261,2022-07-16,56.306282,100.41465,35.466568,8.282015,21.286299,20.088589,981.31006
262,2022-07-17,62.27246,108.317406,37.183243,8.725204,22.43762,18.227968,1053.8302
263,2022-07-18,56.459442,93.98757,37.2788,7.7677693,23.703161,18.293884,1077.7084
264,2022-07-19,65.06131,98.88741,37.12779,7.512008,26.156376,19.867535,851.8966
265,2022-07-20,57.53617,100.75406,35.749573,7.051869,29.371403,19.485094,1050.9249
266,2022-07-21,58.150974,99.2412,35.3751,8.791748,31.078869,20.90664,989.9312
267,2022-07-22,56.435436,88.590836,31.539755,8.283499,29.57756,17.665733,1252.7505
268,2022-07-23,54.43086,91.96978,34.394722,9.470104,27.741959,19.254618,1227.217
269,2022-07-24,65.030396,89.447174,33.07802,9.597363,25.556122,19.735727,1088.4362
270,2022-07-25,60.28498,95.96784,33.18558,9.1034355,24.20081,23.736124,1114.0363
271,2022-07-26,63.660904,109.80211,32.38555,10.894552,25.10146,21.459208,1036.3041
272,2022-07-27,62.096737,108.37118,30.838634,10.570555,25.668701,21.489347,1428.549
273,2022-07-28,60.27949,105.146324,30.350216,11.468987,24.316324,27.923656,1260.7941
274,2022-07-29,67.531715,111.61295,28.915754,9.283055,25.29917,26.497465,1393.055
275,2022-07-30,62.971455,119.578865,30.637972,10.743309,26.719769,27.705282,1466.8195
276,2022-07-31,65.721146,110.49967,30.75485,11.365845,30.269817,29.694914,1393.9468
277,2022-08-01,58.61746,96.15131,32.27854,9.630739,31.500397,28.895456,1438.1189
278,2022-08-02,55.01781,85.626526,31.581713,11.027026,32.701538,20.106533,1563.4235
279,2022-08-03,60.568443,84.1058,30.465601,13.289623,34.44592,17.704975,1529.5033
280,2022-08-04,63.19296,97.187546,30.414267,13.188608,32.357376,21.705786,1195.9886
281,2022-08-05,58.61033,94.679436,29.895159,11.167021,30.002438,17.10264,1334.1305
282,2022-08-06,56.579983,92.87342,30.458632,11.059705,26.550926,17.032389,1268.0834
283,2022-08-07,61.66547,97.96151,31.39456,11.913521,24.776623,19.644028,1082.4933
284,2022-08-08,60.041027,91.04388,30.700254,9.889429,22.520018,18.984274,1231.6249
285,2022-08-09,55.08801,81.99135,31.736086,7.9350867,21.27057,24.36231,780.364
286,2022-08-10,49.27186,70.461815,30.985363,5.2016973,19.459553,16.020426,921.7664
287,2022-08-11,42.119015,62.109367,32.863667,6.5987706,20.583332,11.798277,923.3688
288,2022-08-12,51.101357,76.65049,33.32116,8.331465,22.097286,18.882658,701.50757
289,2022-08-13,50.80065,80.4935,32.550953,7.5522885,22.350464,20.376566,1054.5634
290,2022-08-14,47.98909,82.2488,32.13389,9.747335,22.590202,17.12642,959.9269
291,2022-08-15,57.15234,93.42499,31.401648,9.09474,24.053421,13.155798,1091.1665
292,2022-08-16,52.45407,88.54161,32.272152,9.373165,23.70428,27.717619,994.1664
293,2022-08-17,55.53165,74.676056,34.76258,6.7345886,22.971346,22.048555,869.84314
294,2022-08-18,55.17669,81.02478,34.62771,5.8427396,23.310743,20.490732,879.1906
295,2022-08-19,50.739506,86.6425,34.706585,7.4290066,23.354973,17.62832,989.0984
296,2022-08-20,54.136135,90.69006,31.42293,8.604642,24.236496,22.2856,993.05133
297,2022-08-21,57.506657,92.93601,31.00699,8.975911,26.475517,24.011723,1134.3177
298,2022-08-22,58.160583,86.14364,33.046215,9.003224,29.057634,22.13167,1161.3138
299,2022-08-23,65.46627,92.60006,34.30796,9.823547,27.655365,20.955372,1112.2145
300,2022-08-24,63.21301,93.61701,35.208504,9.325702,28.286316,21.568838,1172.6768
301,2022-08-25,59.238327,91.842476,33.868282,8.249429,27.286982,22.142197,894.761
302,2022-08-26,59.291454,91.09219,33.2238,7.2701435,28.292572,21.318737,1012.889
303,2022-08-27,62.405193,92.88014,32.470005,9.047137,27.584929,15.958626,1139.7192
304,2022-08-28,63.29903,94.51383,31.548159,8.819713,29.459908,16.459425,1052.9316
305,2022-08-29,61.263226,97.410255,33.53884,8.202074,30.93573,17.28009,990.01447
306,2022-08-30,62.359203,98.00277,33.92434,8.378045,32.1942,14.125796,1075.2534
